Date,Price,Open,High,Low,Vol.,Change_Percent
5/1/2007,68.04,67.53,71.8,63.8,2.03M,0.58
6/1/2007,71.41,68.15,72.25,67.61,1.72M,4.95
7/1/2007,77.05,71.22,78.4,70.92,1.59M,7.9
8/1/2007,72.69,76.95,77.16,68.14,1.81M,-5.66
9/1/2007,79.17,72.69,81.05,72.69,1.79M,8.91
10/1/2007,90.63,79.25,91.18,75.64,2.11M,14.48
11/1/2007,88.26,90.94,96.65,87.55,2.22M,-2.62
12/1/2007,93.85,88.74,95.87,86.56,1.56M,6.33
1/1/2008,92.21,94.47,98.5,85,2.27M,-1.75
2/1/2008,100.1,91.5,101.27,86.83,2.23M,8.56
3/1/2008,100.3,100.12,108.02,96.92,2.22M,0.2
4/1/2008,111.36,100.5,117.56,98.99,2.34M,11.03
5/1/2008,127.78,112.74,135.14,108.42,2.34M,14.74
6/1/2008,139.83,127.22,143.91,121.32,2.15M,9.43
7/1/2008,123.98,140.44,147.5,120.88,2.14M,-11.34
8/1/2008,114.05,123.42,127.94,110.31,2.00M,-8.01
9/1/2008,98.17,115.5,115.56,88.9,2.35M,-13.92
10/1/2008,65.32,99.45,100.31,59.02,2.39M,-33.46
11/1/2008,53.49,64.3,67.76,47.4,2.12M,-18.11
12/1/2008,45.59,53,53,36.2,1.87M,-14.77
1/1/2009,45.88,43.85,52.21,41.6,2.16M,0.64
2/1/2009,46.35,46.06,48.42,39.35,1.93M,1.02
3/1/2009,49.23,45.56,53.86,41.3,2.18M,6.21
4/1/2009,50.8,48.37,54.31,47.26,2.04M,3.19
5/1/2009,65.52,50.7,65.8,49.96,1.95M,28.98
6/1/2009,69.3,65.77,73.5,64.91,2.39M,5.77
7/1/2009,71.7,69.9,72.12,59.49,2.49M,3.46
8/1/2009,69.65,71.98,76,68.85,2.15M,-2.86
9/1/2009,69.07,69.65,72.2,64.08,2.75M,-0.83
10/1/2009,75.2,68.92,80.26,65.9,2.94M,8.88
11/1/2009,78.47,75.24,80.14,73.7,2.92M,4.35
12/1/2009,77.93,78.42,79.91,71.02,2.46M,-0.69
1/1/2010,71.46,78.49,82.45,71.02,2.81M,-8.3
2/1/2010,77.59,71.35,78.94,67.87,3.29M,8.58
3/1/2010,82.7,77.69,82.82,76.21,3.38M,6.59
4/1/2010,87.44,82.44,87.75,82.22,3.12M,5.73
5/1/2010,74.65,87.44,89.58,68.15,3.47M,-14.63
6/1/2010,75.01,74.82,79.86,70.5,3.38M,0.48
7/1/2010,78.18,74.65,78.31,70.77,2.92M,4.23
8/1/2010,74.64,78.11,82.86,71.75,3.28M,-4.53
9/1/2010,82.31,74.46,82.4,74.42,3.24M,10.28
10/1/2010,83.15,82.21,86.02,80.75,3.50M,1.02
11/1/2010,85.92,83.13,89.7,82.43,3.58M,3.33
12/1/2010,94.75,85.71,95.2,85.41,2.61M,10.28
1/1/2011,101.01,94.75,101.73,92.37,3.58M,6.61
2/1/2011,111.8,101.01,119.79,97.51,3.68M,10.68
3/1/2011,117.36,111.9,118.5,107.35,3.76M,4.97
4/1/2011,125.89,117.61,127.02,116.75,3.08M,7.27
5/1/2011,116.73,126.1,126.54,105.15,4.61M,-7.28
6/1/2011,112.48,117.07,121.47,102.28,4.72M,-3.64
